,parametrizacao,metodo,ensaio,ambiente,sdr,sir,sar,pesq8,pesq16
0,1,ICA_kurt,longe90,cefala,-0.9587910344851336,-2.9967800517455805,-0.9577499490127404,-0.12699999999999997,-0.15065624999999996
1,2,ICA_negen,longe90,cefala,-0.9658387465520558,-2.9756778761537834,-0.9648026653842443,-0.13078125,-0.1281875
2,3,ICA_ML,longe90,cefala,-0.9493947207479905,-2.424915451276879,-0.948068032129747,-0.11037500000000003,-0.14340624999999996
3,4,FDICAnat,longe90,cefala,-0.10263628580209416,-0.2425512141971593,-0.10218396571904367,0.03534375,0.02609375000000007
4,5,FDICAnat,longe90,cefala,0.06215400977064217,-2.626453548216621,0.06415028769488199,0.03293750000000003,0.01821875000000006
5,6,FDICAnat,longe90,cefala,0.277557165028541,7.543512092272585,0.27608473433974445,-0.05849999999999999,-0.07121875000000001
6,7,FDICAnat,longe90,cefala,0.21083014112629747,3.8497622348564327,0.20905616011728329,-0.02856249999999997,-0.07312499999999997
7,8,FDICAnat,longe90,cefala,-0.18267668497068973,-0.800919364535519,-0.18067357948518073,-0.03890625000000001,-0.05884375
8,9,FDICAnat,longe90,cefala,-6.576363527603303,14.684793999019002,-6.580100919201062,-0.39312500000000006,-0.42375
9,10,FDICAnat,longe90,cefala,-0.23823783000807885,1.6165760110931982,-0.23959078297423972,-0.045968749999999996,-0.05384374999999999
10,11,fastFDICA,longe90,cefala,-0.7043134354864198,-0.516779032685428,-0.7037361164652092,0.11490625000000003,0.08512500000000003
11,12,fastFDICA,longe90,cefala,-0.7388402649556034,-0.7404328408489398,-0.7379908011518795,0.12334375,0.10853125000000005
12,13,fastFDICA,longe90,cefala,-0.8777490520579074,2.4117900467811717,-0.8790801823310118,0.09437500000000001,0.06621874999999999
13,14,fastFDICA,longe90,cefala,-0.7373592136034666,0.3858703681637323,-0.7370902897791183,0.07190625000000006,0.08499999999999996
14,15,fastFDICA,longe90,cefala,-0.5615613566636105,3.48307491074645,-0.5627781767889404,0.039000000000000014,0.029531250000000037
15,16,fastFDICA,longe90,cefala,-6.538561133843992,13.460151595850894,-6.542312020861683,-0.34846875,-0.40318750000000003
16,17,fastFDICA,longe90,cefala,-0.8519980512533355,1.894147816864813,-0.854098848102967,0.10446875000000003,0.08159374999999998
17,18,FDICAaux,longe90,cefala,-0.20588538477529775,0.07901948369371548,-0.20503270032468518,0.02834375000000002,-0.004374999999999907
18,19,FDICAaux,longe90,cefala,0.1574279718765338,0.6968304452084122,0.15705832243848325,-0.034156250000000006,-0.06309374999999999
19,20,FDICAaux,longe90,cefala,0.15986557458323813,1.9164713094674417,0.15948673130238805,-0.04899999999999998,-0.05121875000000001
20,21,FDICAaux,longe90,cefala,-0.20150411775975907,0.42703147993512514,-0.20213744591394187,0.013375000000000005,-0.017968749999999978
21,22,FDICAaux,longe90,cefala,-6.311766351741241,13.295164810156768,-6.315501563541102,-0.33275000000000005,-0.31578124999999996
22,23,FDICAaux,longe90,cefala,-0.23851885148151686,2.798705053607266,-0.24018018374169434,0.025781249999999985,-0.025187499999999974
23,24,IVAng,longe90,cefala,0.003782973522269195,3.078551257039038,0.001894115204998409,0.020124999999999997,-0.0039062499999999722
24,25,IVAng,longe90,cefala,-0.21450149344595132,1.096384021360518,-0.214664201782766,-0.059281250000000014,-0.08931250000000004
25,26,IVAng,longe90,cefala,0.060240589579950765,5.265044922799937,0.058011608484561855,0.051906250000000036,0.04706250000000006
26,27,IVAng,longe90,cefala,0.596879984751066,4.6603818921077576,0.5958459127736415,0.24790625000000002,0.262625
27,28,IVAng,longe90,cefala,-0.16142332029860512,6.3693683039006395,-0.16322116182289062,0.009000000000000057,-0.0058749999999999775
28,29,fastIVA,longe90,cefala,0.22517467074869546,1.9443695915465204,0.22439427346775973,0.10231249999999997,0.08571875000000002
