,metodo,ensaio,ambiente,sdr,sir
3,FDICAnat,longe90,estudio,0.089377801134508,3.725927193265603
10,fastFDICA,longe90,estudio,-0.1451254322669747,6.6045522822980605
17,FDICAaux,longe90,estudio,0.0966308416993738,6.36337246631016
26,IVAng,longe90,estudio,0.7786646927768374,7.356285947841504
30,fastIVA,longe90,estudio,1.3296475001307848,12.684681065024144
34,IVAaux,longe90,estudio,0.9389023310666128,10.20614696022847
39,FDICAnat,longe4,estudio,1.1424598982241971,8.811380448013539
46,fastFDICA,longe4,estudio,-0.2640444111111075,3.712542851967786
53,FDICAaux,longe4,estudio,0.6289156078426583,6.818811036787626
62,IVAng,longe4,estudio,1.3829771699107631,12.018957367988309
66,fastIVA,longe4,estudio,0.968313745461882,5.390387718876259
70,IVAaux,longe4,estudio,1.380181187228917,10.604433490356026
75,FDICAnat,longe57,estudio,0.6490458469562449,13.48459227632981
82,fastFDICA,longe57,estudio,-0.7859131741758674,3.656280390119309
89,FDICAaux,longe57,estudio,0.8166857218230616,11.648998213968774
98,IVAng,longe57,estudio,1.3294307794809224,11.095375029277983
102,fastIVA,longe57,estudio,1.1670281623600545,6.639794625221963
106,IVAaux,longe57,estudio,1.3292655019965411,10.388672300323876
111,FDICAnat,media90,estudio,-0.2319136440203842,5.491560437539589
118,fastFDICA,media90,estudio,-0.9006999736667629,9.479517400101273
125,FDICAaux,media90,estudio,-0.0597710185823079,5.156133422762983
134,IVAng,media90,estudio,0.8471093801890629,8.66803219573131
138,fastIVA,media90,estudio,0.7571068776137237,8.46135367638615
142,IVAaux,media90,estudio,0.7286139278304121,6.69016877547001
147,FDICAnat,media4,estudio,0.8206698390227233,8.65314577768758
154,fastFDICA,media4,estudio,0.4308515637586214,11.36017576760486
161,FDICAaux,media4,estudio,1.2491341759298744,11.28319390198362
170,IVAng,media4,estudio,1.6571479866236918,13.016206883340384
174,fastIVA,media4,estudio,0.9862030817950204,11.303929184054716
178,IVAaux,media4,estudio,1.638701222124931,11.708774242936922
183,FDICAnat,media57,estudio,0.6174274346852252,5.62487288414239
190,fastFDICA,media57,estudio,-0.9547774100897544,2.3857280745937097
197,FDICAaux,media57,estudio,0.3452558339588817,8.398083116136448
206,IVAng,media57,estudio,1.2411186177953426,6.42644009683605
210,fastIVA,media57,estudio,1.1275990680221433,4.8869536539962
